species,analysis_node,filtered_total_count,filtered_microRNA_score,filtered_no_hits,unfiltered_total_count,unfiltered_microRNA_score,filtered_out_families
Chloroclystasiterata,Lepidoptera,46,68.66,"Mir-1993, Mir-242, Mir-3, Mir-3049, Mir-36, Mir-999",61,91.04,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-219, Mir-22, Mir-2765, Mir-306, Mir-315, Mir-316, Mir-375, Mir-932, Mir-957, Mir-970, Mir-988"
Choloepusdidactylus,Eutheria,156,72.56,"Mir-1301, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-2001, Mir-210, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-338, Mir-346, Mir-384, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",186,86.51,"Mir-1251, Mir-1271, Mir-134, Mir-1379, Mir-1842, Mir-185, Mir-1911, Mir-2114, Mir-2184, Mir-224, Mir-337, Mir-350, Mir-361, Mir-432, Mir-433, Mir-448, Mir-452, Mir-483, Mir-493, Mir-504, Mir-544, Mir-592, Mir-598, Mir-653, Mir-672, Mir-676, Mir-722, Mir-737, Mir-877, Mir-9851"
Chrysemyspicta,Archelosauria,107,90.68,"Mir-2001, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-4541, Mir-722, Mir-76",108,91.53,Mir-71
Chrysodeixisincludens,Lepidoptera,48,71.64,"Mir-12, Mir-153, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36",60,89.55,"Mir-1000, Mir-14, Mir-193, Mir-1993, Mir-22, Mir-2765, Mir-306, Mir-316, Mir-932, Mir-957, Mir-970, Mir-999"
Chrysolinaoricalcia,Endopterygota,46,71.88,"Mir-153, Mir-1993, Mir-242, Mir-278, Mir-36",59,92.19,"Mir-2001, Mir-22, Mir-275, Mir-2765, Mir-2796, Mir-3, Mir-3049, Mir-306, Mir-750, Mir-932, Mir-965, Mir-970, Mir-989"
Chrysoteuchiaculmella,Lepidoptera,46,68.66,"Let-7, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957",61,91.04,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-2765, Mir-3, Mir-316, Mir-929, Mir-932, Mir-970, Mir-988, Mir-999"
Chrysoteuchiaculmella,Lepidoptera,46,68.66,"Mir-12, Mir-3049, Mir-315, Mir-36",63,94.03,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-2765, Mir-3, Mir-316, Mir-929, Mir-932, Mir-957, Mir-970, Mir-988, Mir-999"
Chrysotoxumbicinctum,Diptera,50,74.63,"Mir-153, Mir-1993, Mir-242, Mir-2765, Mir-2796, Mir-3049, Mir-71, Mir-750",59,88.06,"Mir-275, Mir-306, Mir-36, Mir-87, Mir-932, Mir-957, Mir-970, Mir-971, Mir-999"
Chrysotoxumbicinctum,Diptera,50,74.63,"Mir-1993, Mir-242, Mir-2765, Mir-2796, Mir-3049, Mir-36, Mir-71, Mir-750",59,88.06,"Mir-153, Mir-275, Mir-306, Mir-87, Mir-932, Mir-957, Mir-970, Mir-971, Mir-999"
Cimexlectularius,Neoptera,38,61.29,"Mir-153, Mir-1993, Mir-22, Mir-242, Mir-3, Mir-36, Mir-375",55,88.71,"Mir-1000, Mir-12, Mir-14, Mir-193, Mir-2001, Mir-275, Mir-2765, Mir-277, Mir-282, Mir-3049, Mir-306, Mir-316, Mir-33, Mir-927, Mir-929, Mir-932, Mir-965"
Cistogasterglobosa,Diptera,42,62.69,"Mir-153, Mir-1993, Mir-242, Mir-2765, Mir-2796, Mir-29, Mir-3049, Mir-306, Mir-36, Mir-71, Mir-750",56,83.58,"Mir-1000, Mir-1175, Mir-12, Mir-193, Mir-2001, Mir-275, Mir-3, Mir-932, Mir-957, Mir-965, Mir-970, Mir-971, Mir-988, Mir-999"
Cistogasterglobosa,Diptera,42,62.69,"Mir-153, Mir-1993, Mir-242, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-36, Mir-71, Mir-750",57,85.07,"Mir-1000, Mir-1175, Mir-12, Mir-193, Mir-2001, Mir-275, Mir-29, Mir-3, Mir-932, Mir-957, Mir-965, Mir-970, Mir-971, Mir-988, Mir-999"
Clariasgariepinus,Clupeocephala,90,78.95,"Mir-1329, Mir-147, Mir-208, Mir-2184, Mir-252, Mir-278, Mir-281, Mir-315, Mir-726, Mir-729, Mir-76, Mir-875",102,89.47,"Mir-191, Mir-2001, Mir-242, Mir-32, Mir-4057, Mir-4541, Mir-71, Mir-7132, Mir-7133, Mir-7147, Mir-728, Mir-734"
Clonorchissinensis,Lophotrochozoa,8,16.33,"Bantam, Mir-10, Mir-1175, Mir-133, Mir-137, Mir-153, Mir-190, Mir-193, Mir-1989, Mir-1990, Mir-1992, Mir-1993, Mir-1994, Mir-2001, Mir-210, Mir-216, Mir-242, Mir-252, Mir-277, Mir-279, Mir-29, Mir-315, Mir-317, Mir-33, Mir-34, Mir-36, Mir-375, Mir-87, Mir-96",20,40.82,"Let-7, Mir-1, Mir-12, Mir-184, Mir-1986, Mir-219, Mir-22, Mir-281, Mir-67, Mir-7, Mir-71, Mir-76"
Closteracurtula,Lepidoptera,41,61.19,"Mir-12, Mir-184, Mir-190, Mir-1993, Mir-242, Mir-281, Mir-282, Mir-3049, Mir-92, Mir-957",57,85.07,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-219, Mir-22, Mir-2765, Mir-306, Mir-315, Mir-36, Mir-67, Mir-71, Mir-932, Mir-970, Mir-988, Mir-999"
Closteracurtula,Lepidoptera,50,74.63,"Mir-12, Mir-1993, Mir-242, Mir-3049",63,94.03,"Mir-1000, Mir-153, Mir-193, Mir-219, Mir-22, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-957, Mir-970, Mir-988, Mir-999"
Closteracurtula,Lepidoptera,50,74.63,"Mir-12, Mir-1993, Mir-242, Mir-3049",63,94.03,"Mir-1000, Mir-153, Mir-193, Mir-219, Mir-22, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-957, Mir-970, Mir-988, Mir-999"
species,Cnidaria,1.0,33.33,,1,33.33,
Cnaphalocrocismedinalis,Lepidoptera,46,68.66,"Mir-12, Mir-153, Mir-242, Mir-278, Mir-2796, Mir-281, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999",56,83.58,"Mir-1000, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-929, Mir-965, Mir-970"
Coccinellaseptempunctata,Endopterygota,46,71.88,"Mir-1993, Mir-2001, Mir-242, Mir-275, Mir-278",59,92.19,"Mir-12, Mir-153, Mir-22, Mir-2765, Mir-3, Mir-3049, Mir-306, Mir-316, Mir-36, Mir-750, Mir-965, Mir-970, Mir-989"
Coccinellaseptempunctata,Endopterygota,46,71.88,"Mir-1993, Mir-2001, Mir-242, Mir-275, Mir-278, Mir-36",58,90.62,"Mir-12, Mir-153, Mir-22, Mir-2765, Mir-3, Mir-3049, Mir-306, Mir-316, Mir-750, Mir-965, Mir-970, Mir-989"
Coliascroceus,Lepidoptera,48,71.64,"Mir-12, Mir-153, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-957, Mir-999",59,88.06,"Mir-1000, Mir-14, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-2765, Mir-929, Mir-932, Mir-970, Mir-988"
Coliascroceus,Lepidoptera,47,70.15,"Mir-12, Mir-14, Mir-153, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-957, Mir-999",56,83.58,"Mir-1000, Mir-219, Mir-22, Mir-2765, Mir-71, Mir-929, Mir-932, Mir-970, Mir-988"
Colletesgigas,Endopterygota,44,68.75,"Mir-1993, Mir-242, Mir-970, Mir-989",60,93.75,"Mir-1000, Mir-14, Mir-153, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3, Mir-3049, Mir-306, Mir-316, Mir-36, Mir-929, Mir-932, Mir-965, Mir-971"
Copidosomafloridanum,Endopterygota,39,60.94,"Let-7, Mir-153, Mir-1993, Mir-22, Mir-242, Mir-306, Mir-36, Mir-375, Mir-87, Mir-970, Mir-989",53,82.81,"Mir-1000, Mir-14, Mir-2001, Mir-2765, Mir-2796, Mir-29, Mir-3, Mir-3049, Mir-316, Mir-67, Mir-929, Mir-932, Mir-965, Mir-971"
Coremaceramarginata,Diptera,44,65.67,"Mir-153, Mir-184, Mir-1993, Mir-242, Mir-2765, Mir-2796, Mir-3049, Mir-36, Mir-7, Mir-71, Mir-750, Mir-988",55,82.09,"Mir-1175, Mir-14, Mir-193, Mir-2001, Mir-22, Mir-3, Mir-87, Mir-957, Mir-970, Mir-971, Mir-999"
Coremaceramarginata,Diptera,47,70.15,"Mir-153, Mir-1993, Mir-242, Mir-2765, Mir-2796, Mir-3049, Mir-36, Mir-71, Mir-750",58,86.57,"Mir-1175, Mir-14, Mir-193, Mir-2001, Mir-22, Mir-3, Mir-87, Mir-957, Mir-970, Mir-971, Mir-999"
Corvusmoneduloides,Neognathae,103,80.47,"Mir-132, Mir-150, Mir-2001, Mir-208, Mir-2184, Mir-242, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-4541, Mir-459, Mir-71, Mir-7147, Mir-722, Mir-726, Mir-727, Mir-76",110,85.94,"Mir-144, Mir-1720, Mir-2131, Mir-599, Mir-725, Mir-737, Mir-875"
Corvusmoneduloides,Neognathae,104,81.25,"Mir-150, Mir-2001, Mir-208, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-4541, Mir-459, Mir-71, Mir-7147, Mir-722, Mir-726, Mir-727, Mir-76",112,87.5,"Mir-147, Mir-1720, Mir-2131, Mir-242, Mir-599, Mir-725, Mir-737, Mir-875"
Cosmiatrapezina,Lepidoptera,48,71.64,"Mir-12, Mir-3049, Mir-315, Mir-375, Mir-999",62,92.54,"Mir-1000, Mir-14, Mir-153, Mir-219, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-932, Mir-957, Mir-965, Mir-970, Mir-988"
Cosmiatrapezina,Lepidoptera,48,71.64,"Mir-3049, Mir-315, Mir-375",64,95.52,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-219, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-932, Mir-957, Mir-965, Mir-970, Mir-988, Mir-999"
Cotesiaglomerata,Endopterygota,42,65.62,"Mir-1993, Mir-242, Mir-3, Mir-36, Mir-970, Mir-989",58,90.62,"Mir-1000, Mir-124, Mir-14, Mir-153, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-29, Mir-3049, Mir-316, Mir-927, Mir-929, Mir-932, Mir-965, Mir-971"
Cottopercagobio,Clupeocephala,97,85.09,"Mir-1329, Mir-242, Mir-252, Mir-278, Mir-32, Mir-4541, Mir-729, Mir-76, Mir-875",105,92.11,"Mir-147, Mir-191, Mir-2001, Mir-281, Mir-315, Mir-4057, Mir-451, Mir-71"
Craniophoraligustri,Lepidoptera,46,68.66,"Mir-12, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-957",60,89.55,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-932, Mir-970, Mir-988, Mir-999"
Craniophoraligustri,Lepidoptera,46,68.66,"Mir-12, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-957, Mir-999",59,88.06,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-275, Mir-2765, Mir-306, Mir-71, Mir-932, Mir-970, Mir-988"
Crassostreagigas,Mollusca,52,100.0,,52,100.0,
Crassostreavirginica,Mollusca,49,94.23,,52,100.0,"Mir-1985, Mir-1986, Mir-210"
Criorhinaberberina,Diptera,51,76.12,"Mir-153, Mir-1993, Mir-242, Mir-2765, Mir-2796, Mir-3049, Mir-36, Mir-71, Mir-750",58,86.57,"Mir-1175, Mir-87, Mir-932, Mir-957, Mir-970, Mir-971, Mir-999"
Criorhinaberberina,Diptera,51,76.12,"Mir-153, Mir-1993, Mir-242, Mir-2765, Mir-2796, Mir-3049, Mir-36, Mir-71, Mir-750",58,86.57,"Mir-1175, Mir-87, Mir-932, Mir-957, Mir-970, Mir-971, Mir-999"
Criorhinaberberina,Diptera,50,74.63,"Mir-153, Mir-1993, Mir-242, Mir-2765, Mir-279, Mir-2796, Mir-3049, Mir-36, Mir-71, Mir-750",57,85.07,"Mir-1175, Mir-87, Mir-932, Mir-957, Mir-970, Mir-971, Mir-999"
Crocalliselinguaria,Lepidoptera,47,70.15,"Mir-12, Mir-1993, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-999",60,89.55,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-22, Mir-2765, Mir-306, Mir-36, Mir-929, Mir-932, Mir-957, Mir-970, Mir-988"
Crocalliselinguaria,Lepidoptera,46,68.66,"Mir-12, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-71",58,86.57,"Mir-1000, Mir-193, Mir-22, Mir-2765, Mir-306, Mir-36, Mir-929, Mir-932, Mir-957, Mir-970, Mir-988, Mir-999"
Crocutacrocuta,Laurasiatheria,165,76.04,"Mir-1247, Mir-1329, Mir-1379, Mir-1397, Mir-149, Mir-1662, Mir-1788, Mir-1805, Mir-2001, Mir-203, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-4057, Mir-431, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-541, Mir-598, Mir-675, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76, Mir-935",182,83.87,"Mir-1298, Mir-1416, Mir-1911, Mir-224, Mir-2355, Mir-2387, Mir-384, Mir-448, Mir-452, Mir-504, Mir-592, Mir-615, Mir-672, Mir-676, Mir-722, Mir-877, Mir-9851"
Cuculuscanorus,Neognathae,99,77.34,"Mir-2001, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-32, Mir-4057, Mir-4541, Mir-459, Mir-599, Mir-71, Mir-722, Mir-725, Mir-727, Mir-76",112,87.5,"Mir-139, Mir-1559, Mir-1662, Mir-1720, Mir-1729, Mir-1781, Mir-1805, Mir-2131, Mir-2184, Mir-2984, Mir-7147, Mir-726, Mir-875"
Culexquinquefasciatus,Diptera,52,77.61,"Iab-4, Mir-153, Mir-1993, Mir-242, Mir-3049, Mir-34, Mir-36, Mir-750",59,88.06,"Mir-14, Mir-2001, Mir-2765, Mir-306, Mir-970, Mir-971, Mir-999"
Culteralburnus,Clupeocephala,96,84.21,"Mir-1329, Mir-2001, Mir-252, Mir-278, Mir-281, Mir-315, Mir-32, Mir-4057, Mir-76",105,92.11,"Mir-147, Mir-191, Mir-242, Mir-425, Mir-4541, Mir-71, Mir-7133, Mir-729, Mir-875"
Cyanirissemiargus,Lepidoptera,47,70.15,"Mir-12, Mir-219, Mir-242, Mir-3049, Mir-375, Mir-957",61,91.04,"Mir-1000, Mir-14, Mir-153, Mir-1993, Mir-22, Mir-275, Mir-2765, Mir-2796, Mir-3, Mir-36, Mir-932, Mir-970, Mir-988, Mir-999"
Cyanirissemiargus,Lepidoptera,49,73.13,"Mir-12, Mir-219, Mir-242, Mir-3049, Mir-36, Mir-375, Mir-957",60,89.55,"Mir-1000, Mir-14, Mir-153, Mir-22, Mir-275, Mir-2765, Mir-2796, Mir-932, Mir-970, Mir-988, Mir-999"
Cyclopteruslumpus,Clupeocephala,95,83.33,"Mir-1329, Mir-242, Mir-252, Mir-278, Mir-281, Mir-32, Mir-729",107,93.86,"Mir-139, Mir-147, Mir-2001, Mir-4057, Mir-451, Mir-4541, Mir-459, Mir-71, Mir-7133, Mir-725, Mir-76, Mir-875"
Cydiasplendana,Lepidoptera,47,70.15,"Mir-12, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-242, Mir-3049, Mir-36, Mir-957",58,86.57,"Mir-1000, Mir-193, Mir-22, Mir-2765, Mir-306, Mir-315, Mir-71, Mir-932, Mir-965, Mir-970, Mir-999"
Cydiasplendana,Lepidoptera,47,70.15,"Mir-12, Mir-153, Mir-1993, Mir-219, Mir-242, Mir-3049, Mir-36, Mir-999",59,88.06,"Mir-1000, Mir-14, Mir-193, Mir-22, Mir-2765, Mir-306, Mir-315, Mir-316, Mir-932, Mir-957, Mir-965, Mir-970"
Cygnusatratus,Neognathae,102,79.69,"Mir-150, Mir-1781, Mir-2001, Mir-208, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-4541, Mir-599, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76",108,84.38,"Mir-1467, Mir-1720, Mir-1729, Mir-2184, Mir-2984, Mir-875"
Cygnusolor,Neognathae,101,78.91,"Mir-150, Mir-1781, Mir-2001, Mir-208, Mir-2184, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-4541, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-727, Mir-737, Mir-76",109,85.16,"Mir-1397, Mir-1467, Mir-1720, Mir-1729, Mir-2984, Mir-599, Mir-726, Mir-875"
Cyprinuscarpiocarpio,Clupeocephala,96,84.21,"Mir-1329, Mir-147, Mir-2001, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-32, Mir-4057",104,91.23,"Mir-191, Mir-4541, Mir-71, Mir-7132, Mir-7133, Mir-729, Mir-76, Mir-875"
Danausplexippus,Lepidoptera,48,71.64,"Mir-12, Mir-153, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999",58,86.57,"Mir-1000, Mir-14, Mir-1993, Mir-22, Mir-2765, Mir-375, Mir-71, Mir-929, Mir-970, Mir-989"
Danausplexippusplexippus,Lepidoptera,47,70.15,"Mir-12, Mir-153, Mir-1993, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999",57,85.07,"Mir-1000, Mir-14, Mir-22, Mir-2765, Mir-3, Mir-375, Mir-71, Mir-929, Mir-970, Mir-989"
Daphniamagna,Daphnia,48,90.57,"Mir-2001, Mir-242, Mir-2765, Mir-316",49,92.45,Mir-22
Daphniapulex,Daphnia,46,86.79,"Mir-2001, Mir-219, Mir-242, Mir-2765, Mir-316",48,90.57,"Let-7, Mir-278"
Daphniapulicaria,Daphnia,47,88.68,"Mir-2001, Mir-242, Mir-2765, Mir-316",49,92.45,"Let-7, Mir-278"
Daubentoniamadagascariensis,Euarchontoglires,184,84.02,"Mir-1397, Mir-1662, Mir-1788, Mir-2001, Mir-2114, Mir-2184, Mir-2188, Mir-242, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-4057, Mir-456, Mir-460, Mir-71, Mir-7147, Mir-726, Mir-727, Mir-76",199,90.87,"Mir-1329, Mir-1379, Mir-1416, Mir-1805, Mir-1842, Mir-2355, Mir-2483, Mir-4541, Mir-458, Mir-511, Mir-672, Mir-722, Mir-725, Mir-737, Mir-770"
Deilephilaporcellus,Lepidoptera,46,68.66,"Mir-12, Mir-153, Mir-1993, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-957, Mir-999",56,83.58,"Mir-1000, Mir-14, Mir-193, Mir-22, Mir-275, Mir-2765, Mir-932, Mir-965, Mir-970, Mir-988"
Deilephilaporcellus,Lepidoptera,46,68.66,"Mir-12, Mir-153, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-932, Mir-999",57,85.07,"Mir-1000, Mir-14, Mir-193, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-957, Mir-965, Mir-970, Mir-988"
Delphinapterusleucas,Laurasiatheria,172,79.26,"Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-2001, Mir-2114, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-675, Mir-71, Mir-7147, Mir-726, Mir-727, Mir-76",191,88.02,"Mir-1301, Mir-1307, Mir-1329, Mir-1379, Mir-1805, Mir-1842, Mir-187, Mir-1911, Mir-339, Mir-350, Mir-361, Mir-504, Mir-592, Mir-653, Mir-672, Mir-722, Mir-725, Mir-737, Mir-744"
Delphinapterusleucas,Laurasiatheria,174,80.18,"Mir-1397, Mir-1416, Mir-1662, Mir-2001, Mir-2114, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-675, Mir-71, Mir-7147, Mir-726, Mir-727, Mir-737, Mir-76",191,88.02,"Mir-1301, Mir-1307, Mir-1329, Mir-1379, Mir-1788, Mir-1805, Mir-1842, Mir-187, Mir-1911, Mir-339, Mir-350, Mir-592, Mir-653, Mir-672, Mir-722, Mir-725, Mir-744"
Dendroctonusponderosae,Endopterygota,44,68.75,"Mir-153, Mir-1993, Mir-2001, Mir-242, Mir-278, Mir-29, Mir-3, Mir-3049, Mir-306, Mir-36, Mir-970",53,82.81,"Mir-12, Mir-14, Mir-219, Mir-22, Mir-275, Mir-750, Mir-932, Mir-965, Mir-989"
Dendrolimuskikuchii,Lepidoptera,48,71.64,"Mir-12, Mir-219, Mir-242, Mir-276, Mir-3049, Mir-315, Mir-36, Mir-957",59,88.06,"Mir-1000, Mir-14, Mir-153, Mir-1993, Mir-22, Mir-275, Mir-2765, Mir-932, Mir-970, Mir-988, Mir-999"
Dendrolimuspunctatus,Lepidoptera,49,73.13,"Mir-12, Mir-153, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-999",60,89.55,"Mir-1000, Mir-14, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-8, Mir-932, Mir-957, Mir-970"
Dendronephthyagigantea,Cnidaria,1,33.33,Mir-2030,2,66.67,Mir-2022
Denticepsclupeoides,Clupeocephala,91,79.82,"Mir-1329, Mir-147, Mir-191, Mir-2001, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-32, Mir-4057, Mir-425, Mir-71, Mir-7147, Mir-729, Mir-875",98,85.96,"Mir-2188, Mir-4541, Mir-7132, Mir-7133, Mir-725, Mir-728, Mir-76"
Denticepsclupeoides,Clupeocephala,91,79.82,"Mir-1329, Mir-147, Mir-191, Mir-2001, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-32, Mir-4057, Mir-425, Mir-71, Mir-7147, Mir-729, Mir-875",98,85.96,"Mir-2188, Mir-4541, Mir-7132, Mir-7133, Mir-725, Mir-728, Mir-76"
Dermacentorandersoni,Chelicerata,46,90.2,"Mir-1993, Mir-216, Mir-242, Mir-5735",47,92.16,Mir-5305
Dermacentorsilvarum,Chelicerata,46,90.2,"Mir-193, Mir-1993, Mir-216, Mir-242",47,92.16,Mir-5735
Dermatophagoidespteronyssinus,Chelicerata,12,23.53,"Bantam, Let-7, Mir-1175, Mir-12, Mir-133, Mir-137, Mir-153, Mir-193, Mir-1993, Mir-210, Mir-216, Mir-219, Mir-22, Mir-242, Mir-275, Mir-276, Mir-277, Mir-278, Mir-279, Mir-281, Mir-31, Mir-315, Mir-33, Mir-36, Mir-5305, Mir-750, Mir-87",24,47.06,"Iab-4, Mir-2001, Mir-29, Mir-305, Mir-34, Mir-3931, Mir-5735, Mir-67, Mir-7, Mir-76, Mir-8, Mir-92"
Desmodusrotundus,Laurasiatheria,142,65.44,"Mir-1397, Mir-1416, Mir-149, Mir-1662, Mir-1788, Mir-1805, Mir-1911, Mir-1912, Mir-2001, Mir-203, Mir-2184, Mir-2188, Mir-242, Mir-2483, Mir-252, Mir-278, Mir-281, Mir-296, Mir-2970, Mir-315, Mir-3613, Mir-375, Mir-4057, Mir-425, Mir-448, Mir-456, Mir-458, Mir-460, Mir-491, Mir-675, Mir-7147, Mir-7180, Mir-725, Mir-727, Mir-737, Mir-76, Mir-877, Mir-935, Mir-9851",178,82.03,"Mir-1298, Mir-1329, Mir-134, Mir-1379, Mir-147, Mir-1842, Mir-197, Mir-2114, Mir-224, Mir-2355, Mir-2387, Mir-335, Mir-337, Mir-339, Mir-350, Mir-361, Mir-374, Mir-384, Mir-452, Mir-4541, Mir-488, Mir-489, Mir-504, Mir-541, Mir-592, Mir-652, Mir-6529, Mir-653, Mir-671, Mir-672, Mir-676, Mir-71, Mir-722, Mir-726, Mir-769, Mir-873"
Diabroticabalteata,Endopterygota,45,70.31,"Mir-1993, Mir-242, Mir-278, Mir-306, Mir-31, Mir-36",58,90.62,"Mir-12, Mir-14, Mir-153, Mir-2001, Mir-22, Mir-275, Mir-3, Mir-3049, Mir-316, Mir-750, Mir-965, Mir-970, Mir-989"
Diabroticavirgiferavirgifera,Endopterygota,45,70.31,"Mir-12, Mir-153, Mir-242, Mir-278, Mir-36",59,92.19,"Mir-14, Mir-1993, Mir-2001, Mir-22, Mir-275, Mir-29, Mir-3, Mir-3049, Mir-306, Mir-316, Mir-750, Mir-965, Mir-970, Mir-989"
Diabroticavirgiferavirgifera,Endopterygota,47,73.44,"Mir-12, Mir-153, Mir-1993, Mir-242, Mir-278, Mir-306, Mir-36",57,89.06,"Mir-14, Mir-2001, Mir-22, Mir-275, Mir-3, Mir-3049, Mir-316, Mir-965, Mir-970, Mir-989"
Diachrysiachrysitis,Lepidoptera,48,71.64,"Mir-12, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-957, Mir-999",58,86.57,"Mir-1000, Mir-153, Mir-193, Mir-1993, Mir-22, Mir-2765, Mir-306, Mir-932, Mir-970, Mir-988"
Diachrysiachrysitis,Lepidoptera,48,71.64,"Mir-12, Mir-153, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-957",58,86.57,"Mir-1000, Mir-193, Mir-1993, Mir-22, Mir-2765, Mir-306, Mir-932, Mir-970, Mir-988, Mir-999"
Diarsiarubi,Lepidoptera,46,68.66,"Mir-3049, Mir-315",65,97.01,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-36, Mir-929, Mir-932, Mir-957, Mir-965, Mir-970, Mir-988, Mir-999"
Diarsiarubi,Lepidoptera,44,65.67,"Mir-12, Mir-242, Mir-3049, Mir-315, Mir-375, Mir-957",61,91.04,"Mir-1000, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-36, Mir-71, Mir-929, Mir-932, Mir-965, Mir-970, Mir-988, Mir-999"
Diatraeasaccharalis,Lepidoptera,49,73.13,"Mir-12, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-999",61,91.04,"Mir-1000, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-2765, Mir-3, Mir-316, Mir-929, Mir-932, Mir-957, Mir-970"
Dicentrarchuslabrax,Clupeocephala,99,86.84,"Mir-1329, Mir-2001, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-71, Mir-76",104,91.23,"Mir-147, Mir-32, Mir-4541, Mir-729, Mir-875"
